nsn,reference_part_number,cage_code
5999-01-129-4193,19-06-8415-1250,18565
5999-01-129-4193,11450253-1,0SLE1
5999-01-129-4193,11450253-1,07700
5999-01-129-4193,11450253-1,18876
5999-01-209-0658,276-032-0001,18876
5999-01-215-7176,10272466,18876
5999-01-215-7176,10272466,RNAAC
5999-01-215-7176,10272466,27565
5999-01-215-7176,10272466,07700
5999-01-222-0064,07-0701-6006,18565
5999-01-222-0064,10273087-2,18565
5999-01-222-0064,07-0701-6006,18876
5999-01-222-0064,07-0701-6006,27565
5999-01-222-0064,07-0701-6006,64411
5999-01-240-8049,07-0701-9006,05869
5999-01-240-8049,07-0701-9006-30,05869
5999-01-240-8049,10273087-3,05869
5999-01-240-8049,07-0701-9006,3B150
5999-01-240-8049,07-0701-9006,49956
5999-01-240-8049,07-0701-9006,07700
5999-01-270-9406,11454794,18876
5999-01-270-9406,11454794,04164
5999-01-270-9406,11454794,21025
5999-01-294-4489,11453336,18876
5999-01-294-4489,11453336,3B150
5999-01-294-4489,11453336,07700
5999-01-294-4489,11453336,49956
5999-01-473-6202,031-1287-003,18876
5999-01-473-6202,11479770,18876
5999-01-473-6202,11479770-2,18876
5999-01-473-6202,031-1287-003,71468
